# index method MAE
1 "B3LYP-D3atm" 0.5117
2 "SCAN+rVV10" 0.5800
3 "RSCAN" 1.6333
4 "PBE0-D4" 2.7750
5 "PBE-D4" 3.7942
6 "GFN2-xTB" 8.8779
7 "GFN1-xTB" 13.1126
