source_kind,method,n,energy_absdiff_hartree_max,energy_absdiff_hartree_sum,gradient_diff_sum_max,gradient_diff_sum_sum,gradient_diff_max_max,gradient_diff_max_sum,virial_diff_sum_max,virial_diff_sum_sum,virial_diff_max_max,virial_diff_max_sum
dmc13_gamma,GFN1,13,1.234948854290e-08,5.986684925575e-08,1.236620245869e-06,7.517038599793e-06,3.573672322302e-08,2.563814648507e-07,3.374996281782e-06,1.363252002082e-05,1.261617043030e-06,5.623411208619e-06
dmc13_gamma,GFN2,13,8.757837122175e-09,3.647232205139e-08,5.424115980837e-06,2.671856590617e-05,1.509978808517e-07,7.763776041498e-07,7.350959913959e-06,3.385225545078e-05,2.293485652005e-06,1.150905897035e-05
