system,category,property,method,value,reference,error,relative_error_percent,source
Li,alkali_metal,lattice_constant_A,PBEsol,3.436,3.449,-0.0129999999999999,-0.3769208466222085,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Li,alkali_metal,lattice_constant_A,PBE,3.437,3.449,-0.01200000000000001,-0.34792693534357877,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,revPBE_vdW,4.233,4.21,0.022999999999999687,0.5463182897862184,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,rPW86_vdW2,4.156,4.21,-0.05400000000000027,-1.2826603325415742,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,optPBE_vdW,4.195,4.21,-0.01499999999999968,-0.3562945368170922,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,optB88_vdW,4.169,4.21,-0.04100000000000037,-0.973871733966758,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,optB86b_vdW,4.191,4.21,-0.019000000000000128,-0.45130641330166643,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,LDA,4.054,4.21,-0.1559999999999997,-3.70546318289785,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,PBEsol,4.174,4.21,-0.03599999999999959,-0.8551068883610347,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Na,alkali_metal,lattice_constant_A,PBE,4.2,4.21,-0.009999999999999787,-0.23752969121139111,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,revPBE_vdW,5.293,5.212,0.0810000000000004,1.5541059094397625,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,rPW86_vdW2,5.177,5.212,-0.03500000000000014,-0.6715272448196474,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,optPBE_vdW,5.225,5.212,0.0129999999999999,0.24942440521873444,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,optB88_vdW,5.168,5.212,-0.043999999999999595,-0.8442056792018371,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,optB86b_vdW,5.202,5.212,-0.009999999999999787,-0.19186492709132308,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,LDA,5.046,5.212,-0.16599999999999948,-3.1849577897160253,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,PBEsol,5.216,5.212,0.004000000000000448,0.07674597083653367,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
K,alkali_metal,lattice_constant_A,PBE,5.284,5.212,0.07200000000000006,1.3814274750575617,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,revPBE_vdW,5.672,5.576,0.09600000000000009,1.7216642754662947,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,rPW86_vdW2,5.55,5.576,-0.0259999999999998,-0.46628407460544974,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,optPBE_vdW,5.584,5.576,0.008000000000000007,0.1434720229555264,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,optB88_vdW,5.506,5.576,-0.0699999999999994,-1.2553802008608228,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,optB86b_vdW,5.541,5.576,-0.034999999999999254,-0.6276901004304003,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,LDA,5.373,5.576,-0.2029999999999994,-3.6406025824963995,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,PBEsol,5.572,5.576,-0.0039999999999995595,-0.0717360114777521,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Rb,alkali_metal,lattice_constant_A,PBE,5.671,5.576,0.09500000000000064,1.7037302725968484,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,revPBE_vdW,6.141,6.039,0.10200000000000031,1.6890213611525207,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,rPW86_vdW2,5.987,6.039,-0.0519999999999996,-0.8610697135287282,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,optPBE_vdW,6.022,6.039,-0.01699999999999946,-0.2815035601920757,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,optB88_vdW,5.899,6.039,-0.13999999999999968,-2.3182646133465767,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,optB86b_vdW,5.945,6.039,-0.09399999999999942,-1.556549097532689,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,LDA,5.751,6.039,-0.28799999999999937,-4.769001490312952,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,PBEsol,6.015,6.039,-0.02400000000000002,-0.3974167908594173,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
Cs,alkali_metal,lattice_constant_A,PBE,6.16,6.039,0.12100000000000044,2.0036429872495543,"Klimes et al., Phys. Rev. B 83, 195131 (2011)"
