property,n_paired,GFN1_ME,GFN1_MAE,GFN1_RMSE,GFN1_MRE_percent,GFN1_MARE_percent,GFN2_ME,GFN2_MAE,GFN2_RMSE,GFN2_MRE_percent,GFN2_MARE_percent,GFN2_minus_GFN1_MAE,GFN2_minus_GFN1_MARE_percent_points,systems_GFN2_better,systems_GFN2_worse,systems_equal
lattice_constant_A,21,0.3582384046046432,0.4870647312136493,0.7345908197199671,7.359276279651598,9.984464213326083,0.4329695504171647,0.5602312346102084,0.8145774440948726,7.959216988902969,10.653018110900382,0.07316650339655911,0.6685538975742986,11,10,0
bulk_modulus_GPa,21,498.0023210657356,498.0023210657356,864.2383340554696,544.0792219213889,544.0792219213889,507.68856043588175,507.68856043588175,849.3775309233536,1500.6772317026362,1500.6772317026362,9.686239370146154,956.5980097812472,8,13,0
cohesive_energy_eV_atom,21,1.2683304247039602,1.5815259590164987,1.9940670427280855,85.97912656642676,96.32635123663124,0.3750192846983091,0.8034196686509841,0.9998158921379627,23.20969132349581,35.62088528065281,-0.7781062903655146,-60.70546595597843,16,5,0
