system,category,structure,method,a0_A,a_ref_A,a_error_A,B0_GPa,B_ref_GPa,B_error_GPa,cohesive_eV_atom,cohesive_ref_eV_atom,cohesive_error_eV_atom,fit_rmse_meV_atom
MgO,ionic,rocksalt,GFN1,4.07791382617831,4.184,-0.10608617382168983,862.74857895963,165.0,697.74857895963,5.093428728318211,5.27,-0.1765712716817882,0.1453363548105635
C,covalent,diamond,GFN1,3.542900415280953,3.543,-9.958471904703003e-05,3549.860027279341,443.0,3106.860027279341,9.550020137047296,7.58,1.970020137047296,0.40599605771040354
C,covalent,diamond,GFN2,3.539857359462431,3.543,-0.0031426405375691857,3603.443792155035,443.0,3160.443792155035,8.867082970361093,7.58,1.2870829703610926,0.4201052151326703
SiC,covalent,zincblende,GFN1,4.4975060009055925,4.342,0.15550600090559286,1344.4308801378002,225.0,1119.4308801378002,7.344255344403998,6.49,0.854255344403998,0.18611376402042057
SiC,covalent,zincblende,GFN2,4.406732589348597,4.342,0.06473258934859771,1461.6993503650183,225.0,1236.6993503650183,5.805478799663611,6.49,-0.6845212003363894,0.5857330242538471
Si,semiconductor,diamond,GFN1,5.581848318399427,5.416,0.16584831839942638,607.530294362681,99.2,508.33029436268106,5.154718940080397,4.68,0.4747189400803977,1.228552177266383
Si,semiconductor,diamond,GFN2,5.394835222325648,5.416,-0.02116477767435221,619.9555321149979,99.2,520.7555321149979,2.9586479446969434,4.68,-1.7213520553030563,2.3354618686978514
Ge,semiconductor,diamond,GFN1,5.7079880691097715,5.64,0.06798806910977184,503.4419031725076,75.8,427.64190317250757,4.304815182267207,3.86,0.4448151822672073,0.5159031842723031
Ge,semiconductor,diamond,GFN2,5.761714264329561,5.64,0.12171426432956167,249.36932658467444,75.8,173.56932658467446,3.4835138701973203,3.86,-0.3764861298026796,0.4095718389549668
GaAs,semiconductor,zincblende,GFN1,5.750256379823676,5.638,0.11225637982367598,390.09263938942735,75.6,314.4926393894274,4.666753249727763,3.39,1.2767532497277627,0.06572072359274903
GaAs,semiconductor,zincblende,GFN2,6.0674417816233515,5.638,0.42944178162335156,202.0801821397943,75.6,126.4801821397943,2.914128568204745,3.39,-0.47587143179525526,0.10728846237513769
