method,system,k222_lattice_energy_kJmol,k333_lattice_energy_kJmol,k444_lattice_energy_kJmol,k222_error_kJmol,k333_error_kJmol,k444_error_kJmol,delta_k333_minus_k222_kJmol,delta_k444_minus_k333_kJmol
GFN1,14-cyclohexanedione,108.088008502640,108.130255573401,108.129875264857,18.088008502639,18.130255573401,18.129875264857,0.042247070762,-0.000380308544
GFN1,acetic_acid,81.874978397179,82.268657541859,82.278828158780,8.274978397179,8.668657541859,8.678828158780,0.393679144680,0.010170616921
GFN1,adamantane,63.547142082016,63.552236706181,63.552226683324,-8.252857917984,-8.247763293819,-8.247773316676,0.005094624165,-0.000010022857
GFN1,ammonia,35.876555533176,35.928359297935,35.928217951239,-2.823444466824,-2.771640702065,-2.771782048761,0.051803764759,-0.000141346696
GFN1,anthracene,113.599178940265,122.258912312497,121.659796332227,3.199178940265,11.858912312497,11.259796332227,8.659733372232,-0.599115980270
GFN1,benzene,46.427225774502,46.426409017404,46.426408233635,-8.372774225498,-8.373590982596,-8.373591766365,-0.000816757098,-0.000000783769
GFN1,co2,12.543699799731,12.543735751254,12.543735787119,-16.856300200269,-16.856264248746,-16.856264212881,0.000035951523,0.000000035865
GFN1,cyanamide,68.159872459587,68.160686768215,68.160691983014,-13.340127540413,-13.339313231785,-13.339308016986,0.000814308628,0.000005214799
GFN1,cytosine,156.255846741548,157.002774123197,157.005233088373,-7.244153258452,-6.497225876803,-6.494766911627,0.746927381649,0.002458965176
GFN1,ethylcarbamate,87.473779582349,87.548093348459,87.547978850650,-0.726220417651,-0.651906651541,-0.652021149350,0.074313766110,-0.000114497809
GFN1,formamide,86.023171184155,87.199327159732,87.206518648901,4.923171184155,6.099327159732,6.106518648901,1.176155975577,0.007191489169
GFN1,hexamine,83.954604438063,84.209289809870,84.213437326342,-0.145395561937,0.109289809870,0.113437326342,0.254685371807,0.004147516472
GFN1,imidazole,53.844091945211,59.464941637173,58.818519605184,-36.555908054789,-30.935058362827,-31.581480394816,5.620849691962,-0.646422031989
GFN1,naphthalene,56.602991865165,62.762365935437,62.321880359086,-24.697008134835,-18.537634064563,-18.978119640914,6.159374070272,-0.440485576351
GFN1,oxalic_acid_alpha,113.817765548688,113.827632956283,113.827746677798,15.017765548689,15.027632956283,15.027746677798,0.009867407594,0.000113721515
GFN1,oxalic_acid_beta,123.891011822051,125.097609321662,125.024900957065,27.091011822051,28.297609321662,28.224900957065,1.206597499611,-0.072708364597
GFN1,pyrazine,61.364869198721,61.942014186553,61.931457413595,-2.935130801279,-2.357985813447,-2.368542586405,0.577144987832,-0.010556772958
GFN1,pyrazole,60.095286481531,60.094696319790,60.094696253167,-18.704713518468,-18.705303680210,-18.705303746833,-0.000590161742,-0.000000066623
GFN1,succinic_acid,147.817106884553,147.778971073768,147.778890608445,17.717106884553,17.678971073768,17.678890608445,-0.038135810785,-0.000080465323
GFN1,triazine,66.689781849894,66.689983125232,66.689982677244,4.089781849894,4.089983125232,4.089982677244,0.000201275338,-0.000000447988
GFN1,trioxane,76.744091984378,76.744179869454,76.744181323401,12.144091984378,12.144179869454,12.144181323401,0.000087885076,0.000001453947
