source_kind,method,n,energy_absdiff_hartree_max,energy_absdiff_hartree_sum,gradient_diff_sum_max,gradient_diff_sum_sum,gradient_diff_max_max,gradient_diff_max_sum,virial_diff_sum_max,virial_diff_sum_sum,virial_diff_max_max,virial_diff_max_sum
initial,GFN1,23,4.271146281098e-08,3.533367376463e-07,8.537522820354e-06,4.550831982185e-05,2.583689104503e-07,1.780098772986e-06,6.526546624868e-06,4.192437615930e-05,3.297368852628e-06,2.027187053022e-05
wsc_last_restart,GFN1,23,1.460036003209e-08,1.076210551787e-07,3.364645936713e-06,2.712591721954e-05,1.601268169718e-07,1.153305411665e-06,3.080574719537e-06,2.564298830174e-05,1.739596897643e-06,1.304426406985e-05
