method,mesh,N,ME,MAE,RMSE,MaxAE,mean_abs_change_from_previous_kJmol,max_abs_change_from_previous_kJmol
GFN1,k222,23,-0.929710316642,11.342415273047,14.623727900351,36.555908054789,,
GFN1,k333,23,0.258870758347,11.345701847921,14.019343600815,30.935058362827,1.192019573218,8.659733372232
GFN1,k444,23,0.184285235223,11.366117833354,14.081041811700,31.581480394816,0.079328969552,0.646422031989
GFN2,k222,23,-13.131638151833,15.066336594284,23.276902085689,86.823536363376,,
GFN2,k333,23,-12.018989329907,14.092103828181,21.341751479618,77.785391644510,1.120255369707,9.038144718866
GFN2,k444,23,-12.098182678495,14.166994326582,21.578841946638,79.185896423564,0.084264691802,1.400504779054
