source_kind,method,n,energy_absdiff_hartree_max,energy_absdiff_hartree_sum,gradient_diff_sum_max,gradient_diff_sum_sum,gradient_diff_max_max,gradient_diff_max_sum,virial_diff_sum_max,virial_diff_sum_sum,virial_diff_max_max,virial_diff_max_sum
initial,GFN2,23,3.537647330631e-08,2.574699777824e-07,2.733289181302e-05,1.395640515877e-04,1.100671788091e-06,6.042091179997e-06,1.507608213772e-05,8.497715453547e-05,7.618371826279e-06,3.875950499427e-05
wsc_last_restart,GFN2,23,7.988106176526e-09,5.005021108673e-08,1.358080218933e-05,1.055098308090e-04,8.189023571843e-07,5.354304129656e-06,8.601386321725e-06,6.458445105632e-05,5.943436063069e-06,3.013000867254e-05
