solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,sp_scf_strategy,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
BP,zincblende,GFN1,k444,k333,quadratic,True,,4.57849178,4.525,0.05349178,0.05349178,6.18973580,5.14,1.04973580,1.04973580,-16.304962252276,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN1,k444,k444,quadratic,True,,4.57849178,4.525,0.05349178,0.05349178,6.19527376,5.14,1.05527376,1.05527376,-16.306590381633,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN1,k444,k555,quadratic,True,,4.57849178,4.525,0.05349178,0.05349178,6.19601054,5.14,1.05601054,1.05601054,-16.306806990203,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN2,k444,k333,quadratic,True,,4.55038416,4.525,0.02538416,0.02538416,6.22004892,5.14,1.08004892,1.08004892,-15.135122291944,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN2,k444,k444,quadratic,True,,4.55038416,4.525,0.02538416,0.02538416,6.22297135,5.14,1.08297135,1.08297135,-15.135981469067,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN2,k444,k555,quadratic,True,,4.55038416,4.525,0.02538416,0.02538416,6.22334532,5.14,1.08334532,1.08334532,-15.136091415216,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
AlN,zincblende,GFN1,k444,k333,quadratic,True,,4.61594461,4.368,0.24794461,0.24794461,7.60903038,5.85,1.75903038,1.75903038,-18.128432073457,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN1,k444,k444,quadratic,True,,4.61594461,4.368,0.24794461,0.24794461,7.61543807,5.85,1.76543807,1.76543807,-18.130315897743,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN1,k444,k555,quadratic,True,,4.61594461,4.368,0.24794461,0.24794461,7.61648124,5.85,1.76648124,1.76648124,-18.130622584253,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN2,k444,k333,quadratic,True,,4.31330777,4.368,-0.05469223,0.05469223,8.39336588,5.85,2.54336588,2.54336588,-16.512215122026,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN2,k444,k444,quadratic,True,,4.31330777,4.368,-0.05469223,0.05469223,8.39420036,5.85,2.54420036,2.54420036,-16.512460456298,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN2,k444,k555,quadratic,True,,4.31330777,4.368,-0.05469223,0.05469223,8.39424753,5.85,2.54424753,2.54424753,-16.512474321888,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlP,zincblende,GFN1,k444,k333,quadratic,True,,5.57462709,5.448,0.12662709,0.12662709,6.85555010,4.31,2.54555010,2.54555010,-16.011616290533,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN1,k444,k444,quadratic,True,,5.57462709,5.448,0.12662709,0.12662709,6.86300560,4.31,2.55300560,2.55300560,-16.013808168530,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN1,k444,k555,quadratic,True,,5.57462709,5.448,0.12662709,0.12662709,6.86443560,4.31,2.55443560,2.55443560,-16.014228581372,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
AlP,zincblende,GFN2,k444,k333,quadratic,True,,5.54529858,5.448,0.09729858,0.09729858,5.00639038,4.31,0.69639038,0.69639038,-14.589881251032,tblite_cli,5.542,5.444,5.465,5.475,2.71,4.42,4.23,4.14
