source,family,method,solid,a_calc_A,ecoh_calc_eV_per_atom,a_error_A,ecoh_error_eV_per_atom
Goldzak et al. 2022,post-HF,HF,LiH,4.09400000,1.85000000,0.11500000,-0.64000000
Goldzak et al. 2022,post-HF,MP2,LiH,3.99600000,2.41000000,0.01700000,-0.08000000
Goldzak et al. 2022,post-HF,SCS-MP2,LiH,4.00900000,2.45000000,0.03000000,-0.04000000
Goldzak et al. 2022,post-HF,SOS-MP2,LiH,4.01500000,2.48000000,0.03600000,-0.01000000
Goldzak et al. 2022,post-HF,HF,LiF,3.96400000,3.41000000,-0.00900000,-1.05000000
Goldzak et al. 2022,post-HF,MP2,LiF,3.99000000,4.58000000,0.01700000,0.12000000
Goldzak et al. 2022,post-HF,SCS-MP2,LiF,3.99200000,4.49000000,0.01900000,0.03000000
Goldzak et al. 2022,post-HF,SOS-MP2,LiF,3.99300000,4.44000000,0.02000000,-0.02000000
Goldzak et al. 2022,post-HF,HF,LiCl,5.25300000,2.73000000,0.18100000,-0.85000000
Goldzak et al. 2022,post-HF,MP2,LiCl,5.02100000,3.69000000,-0.05100000,0.11000000
Goldzak et al. 2022,post-HF,SCS-MP2,LiCl,5.05900000,3.58000000,-0.01300000,0.00000000
Goldzak et al. 2022,post-HF,SOS-MP2,LiCl,5.07800000,3.52000000,0.00600000,-0.06000000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,C,3.55700000,7.49500000,0.00400000,-0.05500000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,C,3.57400000,7.36100000,0.02100000,-0.18900000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,C,3.56400000,7.45800000,0.01100000,-0.09200000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,C,3.57100000,7.35300000,0.01800000,-0.19700000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,Si,5.42800000,4.71200000,0.00700000,0.01200000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,Si,5.42000000,4.55000000,-0.00100000,-0.15000000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,Si,5.44000000,4.67500000,0.01900000,-0.02500000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,Si,5.42700000,4.50000000,0.00600000,-0.20000000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,SiC,4.35200000,6.44400000,0.00500000,-0.02600000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,SiC,4.36200000,6.27400000,0.01500000,-0.19600000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,SiC,4.35600000,6.42800000,0.00900000,-0.04200000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,SiC,4.35600000,6.22800000,0.00900000,-0.24200000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,BN,3.60700000,6.83200000,0.01400000,0.07200000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,BN,3.61500000,6.77100000,0.02200000,0.01100000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,BN,3.61400000,6.78500000,0.02100000,0.02500000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,BN,3.62000000,6.70900000,0.02700000,-0.05100000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,BP,4.52300000,5.32500000,-0.00200000,0.18500000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,BP,4.52900000,5.20200000,0.00400000,0.06200000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,BP,4.53300000,5.27900000,0.00800000,0.13900000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,BP,4.53800000,5.14900000,0.01300000,0.00900000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,AlN,4.36200000,5.81800000,-0.00600000,-0.03200000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,AlN,4.36900000,5.73900000,0.00100000,-0.11100000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,AlN,4.36800000,5.80900000,0.00000000,-0.04100000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,AlN,4.36600000,5.71200000,-0.00200000,-0.13800000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,AlP,5.46500000,4.26700000,0.01700000,-0.04300000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,AlP,5.44900000,4.17800000,0.00100000,-0.13200000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,AlP,5.47300000,4.24900000,0.02500000,-0.06100000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,AlP,5.45900000,4.12700000,0.01100000,-0.18300000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,LiH,4.00000000,2.45600000,0.02100000,-0.03400000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,LiH,3.97100000,2.43200000,-0.00800000,-0.05800000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,LiH,4.01200000,2.43000000,0.03300000,-0.06000000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,LiH,3.98800000,2.41800000,0.00900000,-0.07200000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,LiF,3.97800000,4.41400000,0.00500000,-0.04600000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,LiF,4.01300000,4.25600000,0.04000000,-0.20400000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,LiF,3.99500000,4.40200000,0.02200000,-0.05800000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,LiF,4.00500000,4.28400000,0.03200000,-0.17600000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,LiCl,5.09400000,3.50500000,0.02200000,-0.07500000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,LiCl,5.06100000,3.41300000,-0.01100000,-0.16700000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,LiCl,5.11100000,3.47700000,0.03900000,-0.10300000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,LiCl,5.07300000,3.40900000,0.00100000,-0.17100000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN,MgO,4.18700000,5.24600000,-0.00200000,0.05600000
Mejia-Rodriguez and Trickey 2020,DFT,SCAN-L,MgO,4.20500000,5.15700000,0.01600000,-0.03300000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN,MgO,4.19700000,5.24600000,0.00800000,0.05600000
Mejia-Rodriguez and Trickey 2020,DFT,r2SCAN-L,MgO,4.19700000,5.12900000,0.00800000,-0.06100000
Mo et al. 2017,DFT,LSDA,C,3.54400000,8.83000000,-0.00900000,1.28000000
Mo et al. 2017,DFT,PBE,C,3.58300000,7.62000000,0.03000000,0.07000000
Mo et al. 2017,DFT,PBEsol,C,3.56200000,8.05000000,0.00900000,0.50000000
Mo et al. 2017,DFT,TPSS,C,3.58300000,7.12000000,0.03000000,-0.43000000
Mo et al. 2017,DFT,revTPSS,C,3.55900000,7.31000000,0.00600000,-0.24000000
Mo et al. 2017,DFT,TM,C,3.56400000,7.48000000,0.01100000,-0.07000000
Mo et al. 2017,DFT,HSE06,C,3.54900000,7.43000000,-0.00400000,-0.12000000
Mo et al. 2017,DFT,optB86b-vdW,C,3.57200000,7.66000000,0.01900000,0.11000000
Mo et al. 2017,DFT,LSDA,Si,5.42600000,5.26000000,0.00500000,0.56000000
Mo et al. 2017,DFT,PBE,Si,5.49000000,4.50000000,0.06900000,-0.20000000
Mo et al. 2017,DFT,PBEsol,Si,5.44200000,4.87000000,0.02100000,0.17000000
Mo et al. 2017,DFT,TPSS,Si,5.47700000,4.36000000,0.05600000,-0.34000000
Mo et al. 2017,DFT,revTPSS,Si,5.43700000,4.50000000,0.01600000,-0.20000000
Mo et al. 2017,DFT,TM,Si,5.44300000,4.61000000,0.02200000,-0.09000000
Mo et al. 2017,DFT,HSE06,Si,5.43500000,4.52000000,0.01400000,-0.18000000
Mo et al. 2017,DFT,optB86b-vdW,Si,5.44700000,4.81000000,0.02600000,0.11000000
Mo et al. 2017,DFT,LSDA,SiC,4.35100000,7.25000000,0.00400000,0.78000000
Mo et al. 2017,DFT,PBE,SiC,4.40100000,6.25000000,0.05400000,-0.22000000
Mo et al. 2017,DFT,PBEsol,SiC,4.38100000,6.75000000,0.03400000,0.28000000
Mo et al. 2017,DFT,TPSS,SiC,4.39200000,6.02000000,0.04500000,-0.45000000
Mo et al. 2017,DFT,revTPSS,SiC,4.35800000,6.26000000,0.01100000,-0.21000000
Mo et al. 2017,DFT,TM,SiC,4.37400000,6.29000000,0.02700000,-0.18000000
Mo et al. 2017,DFT,HSE06,SiC,4.34700000,6.28000000,0.00000000,-0.19000000
Mo et al. 2017,DFT,optB86b-vdW,SiC,4.36900000,6.55000000,0.02200000,0.08000000
Mo et al. 2017,DFT,LSDA,BP,4.49100000,,-0.03400000,
Mo et al. 2017,DFT,PBE,BP,4.54800000,,0.02300000,
Mo et al. 2017,DFT,PBEsol,BP,4.52000000,,-0.00500000,
Mo et al. 2017,DFT,TPSS,BP,4.54400000,,0.01900000,
Mo et al. 2017,DFT,revTPSS,BP,4.52900000,,0.00400000,
Mo et al. 2017,DFT,TM,BP,4.53400000,,0.00900000,
Mo et al. 2017,DFT,HSE06,BP,4.51900000,,-0.00600000,
Mo et al. 2017,DFT,optB86b-vdW,BP,4.54500000,,0.02000000,
Mo et al. 2017,DFT,LSDA,AlP,5.43300000,,-0.01500000,
Mo et al. 2017,DFT,PBE,AlP,5.50400000,,0.05600000,
Mo et al. 2017,DFT,PBEsol,AlP,5.46800000,,0.02000000,
Mo et al. 2017,DFT,TPSS,AlP,5.49200000,,0.04400000,
Mo et al. 2017,DFT,revTPSS,AlP,5.48200000,,0.03400000,
Mo et al. 2017,DFT,TM,AlP,5.48700000,,0.03900000,
Mo et al. 2017,DFT,HSE06,AlP,5.47200000,,0.02400000,
Mo et al. 2017,DFT,LSDA,LiCl,4.96800000,3.88000000,-0.10400000,0.30000000
Mo et al. 2017,DFT,PBE,LiCl,5.14800000,3.41000000,0.07600000,-0.17000000
Mo et al. 2017,DFT,PBEsol,LiCl,5.07200000,3.49000000,0.00000000,-0.09000000
Mo et al. 2017,DFT,TPSS,LiCl,5.11300000,3.41000000,0.04100000,-0.17000000
Mo et al. 2017,DFT,revTPSS,LiCl,5.08700000,3.39000000,0.01500000,-0.19000000
Mo et al. 2017,DFT,TM,LiCl,5.08900000,3.42000000,0.01700000,-0.16000000
Mo et al. 2017,DFT,HSE06,LiCl,5.11500000,3.33000000,0.04300000,-0.25000000
Mo et al. 2017,DFT,optB86b-vdW,LiCl,5.10300000,3.56000000,0.03100000,-0.02000000
Mo et al. 2017,DFT,LSDA,LiF,3.90400000,5.02000000,-0.06900000,0.56000000
Mo et al. 2017,DFT,PBE,LiF,4.06200000,4.42000000,0.08900000,-0.04000000
Mo et al. 2017,DFT,PBEsol,LiF,4.00200000,4.49000000,0.02900000,0.03000000
Mo et al. 2017,DFT,TPSS,LiF,4.02600000,4.32000000,0.05300000,-0.14000000
Mo et al. 2017,DFT,revTPSS,LiF,4.01100000,4.23000000,0.03800000,-0.23000000
Mo et al. 2017,DFT,TM,LiF,3.99500000,4.34000000,0.02200000,-0.12000000
Mo et al. 2017,DFT,HSE06,LiF,4.01800000,4.18000000,0.04500000,-0.28000000
Mo et al. 2017,DFT,optB86b-vdW,LiF,4.03700000,4.43000000,0.06400000,-0.03000000
Mo et al. 2017,DFT,LSDA,MgO,4.15600000,,-0.03300000,
Mo et al. 2017,DFT,PBE,MgO,4.24200000,,0.05300000,
Mo et al. 2017,DFT,PBEsol,MgO,4.22900000,,0.04000000,
Mo et al. 2017,DFT,TPSS,MgO,4.22400000,,0.03500000,
Mo et al. 2017,DFT,revTPSS,MgO,4.23300000,,0.04400000,
Mo et al. 2017,DFT,TM,MgO,4.20900000,,0.02000000,
Mo et al. 2017,DFT,HSE06,MgO,4.21000000,,0.02100000,
Mo et al. 2017,DFT,optB86b-vdW,MgO,4.23000000,,0.04100000,
Mo et al. 2017,DFT,LSDA,MgS,5.12700000,,-0.06100000,
Mo et al. 2017,DFT,PBE,MgS,5.22800000,,0.04000000,
Mo et al. 2017,DFT,PBEsol,MgS,5.18400000,,-0.00400000,
Mo et al. 2017,DFT,TPSS,MgS,5.22800000,,0.04000000,
Mo et al. 2017,DFT,revTPSS,MgS,5.22200000,,0.03400000,
Mo et al. 2017,DFT,TM,MgS,5.19800000,,0.01000000,
