source,method,n_complete,a_ME_A,a_MAE_A,a_RMSE_A,ecoh_ME_eV_per_atom,ecoh_MAE_eV_per_atom,ecoh_RMSE_eV_per_atom
CP2K/tblite EOS,GFN1,10,0.02198549,0.14511782,0.16915534,1.46717408,1.54385092,1.74483388
CP2K/tblite EOS,GFN2,10,-0.00578455,0.06240968,0.08991429,1.10698251,1.29932483,1.58110318
Goldzak2022,HF,10,0.05230000,0.05590000,0.07874452,-1.62300000,1.62300000,1.67549694
Goldzak2022,MP2,10,-0.00940000,0.01800000,0.02272884,0.24800000,0.24800000,0.27881894
Goldzak2022,SCS-MP2,10,0.00610000,0.01090000,0.01256583,0.03100000,0.06300000,0.08596511
Goldzak2022,SOS-MP2,10,0.01350000,0.01350000,0.01560449,-0.07300000,0.08900000,0.10521407
