solid,structure,method,eos_mesh,energy_mesh,fit_status,sp_completed,a_calc_A,a_ref_exp_A,a_error_A,a_abs_error_A,ecoh_calc_eV_per_atom,ecoh_ref_exp_eV_per_atom,ecoh_error_eV_per_atom,ecoh_abs_error_eV_per_atom,solid_energy_hartree,atom_reference_source,a_HF_A,a_MP2_A,a_SCS_MP2_A,a_SOS_MP2_A,ecoh_HF_eV_per_atom,ecoh_MP2_eV_per_atom,ecoh_SCS_MP2_eV_per_atom,ecoh_SOS_MP2_eV_per_atom
BP,zincblende,GFN1,k444,k444,quadratic,True,4.57876834,4.525,0.05376834,0.05376834,6.19530064,5.14,1.05530064,1.05530064,-16.306598283659,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN1,k444,k555,quadratic,True,4.57876834,4.525,0.05376834,0.05376834,6.19603732,5.14,1.05603732,1.05603732,-16.306814864816,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN2,k444,k333,quadratic,True,4.56640981,4.525,0.04140981,0.04140981,6.26075074,5.14,1.12075074,1.12075074,-15.147088404062,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN2,k444,k444,quadratic,True,4.56640981,4.525,0.04140981,0.04140981,6.26315086,5.14,1.12315086,1.12315086,-15.147794028643,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
BP,zincblende,GFN2,k444,k555,quadratic,True,4.56640981,4.525,0.04140981,0.04140981,6.26344492,5.14,1.12344492,1.12344492,-15.147880480390,tblite_cli,4.584,4.495,4.517,4.528,3.42,5.58,5.3,5.16
AlN,zincblende,GFN1,k444,k333,quadratic,True,4.71870184,4.368,0.35070184,0.35070184,7.81280252,5.85,1.96280252,1.96280252,-18.188339977189,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN1,k444,k444,quadratic,True,4.71870184,4.368,0.35070184,0.35070184,7.81842308,5.85,1.96842308,1.96842308,-18.189992391221,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN1,k444,k555,quadratic,True,4.71870184,4.368,0.35070184,0.35070184,7.81923468,5.85,1.96923468,1.96923468,-18.190230996032,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN2,k444,k333,quadratic,True,4.14392289,4.368,-0.22407711,0.22407711,8.68752957,5.85,2.83752957,2.83752957,-16.598697652486,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
AlN,zincblende,GFN2,k444,k444,quadratic,True,4.14392289,4.368,-0.22407711,0.22407711,8.68853146,5.85,2.83853146,2.83853146,-16.598992201354,tblite_cli,4.365,4.388,4.389,4.389,3.86,6.0,5.85,5.78
