source,method,n_complete,a_ME_A,a_MAE_A,a_RMSE_A,ecoh_ME_eV_per_atom,ecoh_MAE_eV_per_atom,ecoh_RMSE_eV_per_atom
CP2K/tblite EOS,GFN1,12,-0.00522616,0.16434107,0.20038622,1.38101231,1.45585911,1.67377701
CP2K/tblite EOS,GFN2,11,-0.09965670,0.14763755,0.19534442,1.55719432,1.73183907,2.04936268
Goldzak2022,HF,12,0.05208333,0.05725000,0.07926801,-1.53666667,1.53666667,1.60591096
Goldzak2022,MP2,12,-0.00325000,0.01958333,0.02397742,0.21500000,0.22833333,0.26080005
Goldzak2022,SCS-MP2,12,0.01050000,0.01450000,0.01756891,0.02166667,0.05666667,0.07937254
Goldzak2022,SOS-MP2,12,0.01708333,0.01708333,0.02018044,-0.07000000,0.08333333,0.10033278
